"","state","unemployment","income.ineq","housing.severe","violent.crime","overcrowding","high.school.grad","college","food.env.index","food.insecurity","healthy.foods","social.assoc","english.notprof","pcp","mhp","flu.vaccine","poor.physical.health","poor.mental.health","obesity","prevent.hosp.stays","life.expectancy","diabetes","hiv"
"1","AK",0.0726435509568301,4.01309760127439,0.211653534864213,77.6391288217403,0.0715473906250162,0.763081433980577,0.651932049933683,7.01555674207044,0.132424312140525,0.0916797361894102,11.3018850225778,0.0175162302365484,9.05930812037741,38.1315666128198,0.316506676378784,3.74825285423596,3.35974074213126,0.304050928297704,0.288187778604764,78.5066673020786,0.0761050588338661,10.9271892043
"2","AL",0.0442041892866881,5.16209398413746,0.148971517382072,47.7843523698652,0.0177008113350605,0.892740442269572,0.597364446339363,6.41197394449394,0.165449404758852,0.0789204649677843,12.2395421064633,0.0107640453671132,6.55806416491845,9.06906328762677,0.418907547407076,4.39055733513139,4.52446289554831,0.350809665917021,0.543609576230315,75.4662391905948,0.138942675486543,30.0227631413487
"3","AR",0.0371924575589005,4.72079723499668,0.145226133737777,51.8859461643168,0.0250359261440781,0.881182823433407,0.571477762649047,6.14506743992371,0.170724580930329,0.0863226003317961,12.0500195967686,0.0160275744904428,6.66519633138187,21.7879641374742,0.442110571394375,4.82463288842971,4.96275116442953,0.351569194091201,0.502036938208601,75.8801577829429,0.132750495234944,21.2805558104893
"4","AZ",0.0490623988007371,4.62043408260642,0.18976355734844,40.9953486113764,0.0453148041245866,0.79859559703733,0.629667470357122,6.93394575037734,0.148333710361773,0.0745039191733781,5.56422661348901,0.0496782425794313,6.51124140391725,12.6562975145981,0.42576777832096,3.9473669971467,3.85153835108052,0.272120343216552,0.311529151949683,79.9693716189662,0.0977730433691976,26.9139982497823
"5","CA",0.0480676349998216,5.14137112232361,0.27380241661048,41.9457965413109,0.0829247452362416,0.834196545081747,0.640526030157131,8.61064385242727,0.116554861738043,0.032909561347595,5.82537348063914,0.100417474341958,7.84729152934257,32.7603602424166,0.398938133053397,3.534326932435,3.57234718176411,0.227746155472493,0.356371112040585,81.5103365863827,0.0850462379301556,36.5957785478861
"6","CO",0.0285405732977678,4.3561781856959,0.168301982984086,32.6150095172596,0.0260111898168534,0.792772796618691,0.714253002958902,8.28601480358842,0.11136940130412,0.0542908680756914,8.61248108966809,0.0307661497108022,8.11308383348191,32.9619037509811,0.465107989721702,3.26034536266175,3.52080087874629,0.210285941762969,0.287783793426949,80.523379009975,0.0621945153459313,25.2737525469329
"7","CT",0.0467742779719842,5.05783773113899,0.188049426478754,24.5624476273036,0.0190194149829124,0.871142852721502,0.686981281581646,8.47038037904411,0.113288582748265,0.0433687701568294,9.41106550498156,0.0376453262025212,8.47347356264297,36.4627345527484,0.510519491196661,3.23062425265559,3.6519283286732,0.25461536671475,0.421856592972936,80.8546486307221,0.0868811602192084,33.157386478787
"8","DC",0.060517244,7.2920126701,0.2123340283,122.64348766,0.0343099601,0.7236731255,0.807261284,8.4,0.124,0.0078589846,27.614251949,0.024798659,11.77386,45.145914,0.36,3.0064168988,3.5424234802,0.231,0.5778,78.415455838,0.082,259.02
"9","DE",0.0459789776734483,4.4011852344193,0.154199261804487,49.8666926592295,0.0166965106749884,0.876139021079564,0.618554772155638,8.31675355713824,0.117004754459482,0.0467336973372924,10.1574657074481,0.0207866132765428,7.13900853986012,24.3310644592978,0.529080898061104,3.36822477717973,3.72011889501078,0.305811781204421,0.48354016309766,78.5208023412226,0.114821282326634,39.9084341782587
"10","FL",0.0416920023931978,4.67517029471191,0.209173834442374,46.3927086812258,0.0294020012499187,0.825039772474329,0.620284963141042,7.2334174887059,0.138739575923067,0.0717103085879597,7.13841442086493,0.0654645790564875,7.21223749104833,15.003920330698,0.399337912210976,3.87597634565336,3.83589504147592,0.265351296891977,0.521393372493376,79.9600976200565,0.109078104973218,61.2111116741484
"11","GA",0.0476621314515662,4.84043259227935,0.176689740649091,38.5314702117143,0.0237335762274123,0.826832859593151,0.622855666764119,6.5845225656833,0.151199255631615,0.0902755683592303,8.86642521673796,0.0290523149203477,6.60069367120002,12.841274512894,0.430618980286362,3.80362860882718,3.73464595601644,0.302964017943925,0.481878079716895,77.7865355644784,0.116015120363351,55.464899153045
"12","HI",0.023268973520878,4.27746151122008,0.278369740297617,26.6153428574147,0.0923588414498333,0.834223045092108,0.691811389013181,7.90770133668839,0.115622819947301,0.0648787196983578,6.52252023916066,0.049442147386504,8.91769961742083,23.0610294399594,0.416245037401016,3.1588989089419,3.10945573723665,0.2300649355199,0.214766789999424,82.3482660271264,0.0982967079080648,22.326690326388
"13","IA",0.0314259867417912,4.23982979992509,0.121307271687589,28.4041244457768,0.0159193780581867,0.910096045685026,0.701973641429458,8.17307897813641,0.11514767950442,0.0554080859759996,15.067992588964,0.0160246503908018,7.19536495529024,14.5077292123821,0.517679902806535,2.97046419284353,3.30469170403673,0.321768288432827,0.381485003057215,79.5071061107553,0.095811410862141,9.79923364357973
"14","ID",0.0316795745864604,4.2342334368432,0.15894782742253,21.8402855954425,0.0301398230926117,0.796155088037854,0.646845195113863,7.47025627085396,0.131026966069225,0.0697981866953249,7.43166302607885,0.0212020037580426,6.47863397832185,19.8461833890901,0.397481894018377,3.66787907575669,3.76439825036349,0.283866038120659,0.265790799363352,79.3733155169313,0.0851238486889751,6.77458157379435
"15","IL",0.049670941169431,4.94620855527821,0.179036847403089,40.4645222151884,0.0269027131643517,0.88590507866781,0.685879311674525,8.50999638653142,0.110567181022874,0.0445253378699016,9.83165176305727,0.0437485678189294,8.1277501369526,20.7368429159325,0.452129860257242,3.73148328968587,3.48389407516263,0.287040554449871,0.498487277569334,79.309055656483,0.0931529544588383,31.999793654067
"16","IN",0.0353986580313884,4.33960034298008,0.136822735035926,39.5394317231463,0.0179182275479142,0.8557242736182,0.62277310500843,7.36342799818146,0.136855426981808,0.069260020398921,12.2681727463708,0.0151843510729548,6.70879105369083,14.972499195631,0.472052807651266,3.86739663103428,4.13052350902602,0.32754339866485,0.498133790955445,77.1098936746,0.114614658522252,19.3783221564106
"17","KS",0.0364815229547895,4.29906469212939,0.133969069079854,36.5976266109894,0.021355090922662,0.865008141434467,0.694617274611251,7.25917304212695,0.129972319912342,0.082301626966678,13.6887378027748,0.0219232723026078,7.66069196145882,19.0332216956773,0.449525431984849,3.11259637390287,3.3063721022018,0.331983622902294,0.40386638349977,78.6136558895949,0.0981838671075681,12.5895779278323
"18","KY",0.0499245979681262,4.97661431787058,0.141815652778551,22.369369846487,0.0184266311791354,0.913754154225677,0.610320136389071,7.19239415782532,0.152994635274794,0.0563012682841346,10.6069246212153,0.0101967962655233,6.60480577052051,20.278525419808,0.436817941492828,4.6394723641037,4.57542618190996,0.341653763681784,0.611564332306061,75.4924615323868,0.13061279595455,16.3966080697689
"19","LA",0.0516930404110427,5.60304780513338,0.161654328476943,54.3848311291349,0.0245251571985722,0.787908990991055,0.564075811659466,6.13253471732262,0.163683161188583,0.0949747015568296,9.60655985753124,0.0146374682741711,6.65792976508233,29.6739265111573,0.410266816001339,4.06194141243961,4.22670714731895,0.352777900930613,0.583271035033163,76.0983929224596,0.121173720997205,50.0987681790342
"20","MA",0.0372020655962641,5.43431277283743,0.181922838698405,38.6274493255719,0.0189183118106319,0.88484060520028,0.724711524339909,9.00198212955764,0.0937350312012606,0.0406941104063726,9.3701883378183,0.0452773240528279,10.3930837176603,56.9796375987243,0.518553610525292,3.41370724680973,3.97486789078674,0.244373598341297,0.486546099109904,80.4346947552513,0.0932196474863258,33.7037984121738
"21","MD",0.0415504421068837,4.41272143372205,0.168346549565738,45.8666155178355,0.0210407081073975,0.874388195940561,0.690994121249389,8.80429609874265,0.108255525656305,0.0338361486722885,9.01040284564482,0.0322502879042786,8.77892494533488,23.0090756852108,0.478389268853175,3.04146495386279,3.44864774013942,0.302723531549061,0.466940067648385,79.3451467711912,0.107733531421834,63.8369705504317
"22","ME",0.0330069915410516,4.52822333464777,0.157476290590692,12.3696376885857,0.0137869360573696,0.872682318251988,0.667149617612199,7.9451565116434,0.137927356470173,0.0383051711739431,11.1144970387047,0.00546782238433394,11.2263645241611,45.4896936781374,0.453325718032767,3.87606604957132,4.18755894141395,0.294179654721474,0.367290704143327,78.568905854789,0.0998001967951362,12.7970580441614
"23","MI",0.0467829601630292,4.66072842456104,0.158520469473435,44.3593838572449,0.0162789802884458,0.826700639177074,0.676047544885057,7.370677451992,0.1406997218818,0.0629645044772201,9.89009040956073,0.0149488776225724,7.93289856070952,24.75088856036,0.455006532620794,4.1103314320202,4.26673106585004,0.317082139023767,0.520608845096283,78.1048991902282,0.106046521033122,17.6938573512741
"24","MN",0.0346287995842791,4.28923331686086,0.137750821397436,23.4044701565729,0.0211896018869328,0.82632099723711,0.743092713883067,8.7457570518699,0.0936349548452948,0.0559929948683287,12.9607843615241,0.0214534508834074,8.94261490047322,23.0758441676376,0.492521617091112,2.90554341506927,3.11135683660355,0.275701329805261,0.574996001098159,80.9296818597542,0.0817600136176018,17.3201297826636
"25","MO",0.0378042554384696,4.47809361999064,0.142268773602402,47.4905854841533,0.0161852171900435,0.89082602677519,0.659112435883091,7.11247174301206,0.147708994653173,0.0682873951810834,11.58723429677,0.00964716938501971,7.09691642336222,18.08581538263,0.445241836470309,4.24076856621358,4.3244913274743,0.321721806641398,0.47377361104023,77.4332121836993,0.117939864386086,23.5586769021879
"26","MS",0.0513758962024256,5.19816157850074,0.162638641855468,27.9728757898762,0.0283453744908968,0.832778285828949,0.589353274919406,5.02596260859377,0.19740917194464,0.106492864973826,12.5494342086036,0.00796982905529622,5.29343515559472,14.4306365222313,0.393492220434972,4.22599650995267,4.27579808354863,0.364915447035957,0.609092635602024,74.8625099211878,0.14077767819443,36.850019384727
